1;farinha;farinhazinhas
2;Produto ao consumidor;Usados por usuários-finais
3;Produtos industriais;Usados na produção de outros bens
4;Bens de conveniência;Adquiridos frequentemente e com um esfoço mínimo
5;Bens de impulso;Compra por estímulo sensorial imediato
6;Bens de emergência;Bens necessário imediatamente
7;Bens de compra comparada;Alguma comparação com outros bens como carros e TVS. ou seja, são produtos que exigem um alto esfoço do consumidor para comparar os requisitos e fazer uma escolha que atenda às suas necessidades
8;Bens de especialidade;Comparação extensiva com outros bens e uma longa busca por informações
9;Bens perecíveis;Bens que se  deteriorarão rapidamente mesmo sem uso
10;Bens duráveis;Bens que sobrevivem à ocasiões de múltiplo uso
11;Bens não-duráveis;Bens que serão consumidos em uma única oportunidade
12;Bens de capital;Instalações, equipamentos e construções
13;Partes e materiais;Bens que são agregados a um produto final
14;Abastecimento e serviços;Bens que facilitam a produção
15;Commodities;Bens indiferenciáveis(ex. trigo, ouro, açúcar, etc)
16;Produtos intermediários;Resultado da fabricação de outro produto
